TIMESTEP,Year,Month,State,V_HW_Tmax_F,original,,V_HW_Precipitation_inch
2/20/1950,1950,Feb,Maine,36.41,1.23,-1.365409241,0.62
2/20/1950,1950,Feb,Maryland,45.77,1.14,-1.446535456,0.57
2/20/1950,1950,Feb,Massachusetts,37.67,0.91,-1.600615098,0.46
2/20/1950,1950,Feb,Michigan,35.87,0.98,0,0.98
2/20/1950,1950,Feb,Minnesota,33.89,0.84,-1.611734087,0.42
2/20/1950,1950,Feb,Mississippi,58.91,8.84,2.041266881,10.88
2/20/1950,1950,Feb,Missouri,48.11,0.99,1.703103189,2.69
2/20/1950,1950,Feb,Montana,41.45,0.77,0,0.77
2/20/1950,1950,Feb,Nebraska,43.43,0.45,0,0.45
2/20/1950,1950,Feb,Nevada,68.09,0.15,-0.57776999,0.08
2/20/1950,1950,Feb,New Hampshire,35.87,0.75,0,0.75
2/20/1950,1950,Feb,New Jersey,43.97,0.69,0,0.69
2/20/1950,1950,Feb,New Mexico,60.71,0.64,0,0.64
2/20/1950,1950,Feb,New York,39.11,0.44,1.177106099,1.62
2/20/1950,1950,Feb,North Carolina,55.67,3.59,-1.658813749,1.93
2/20/1950,1950,Feb,North Dakota,35.51,0.51,0,0.51
2/20/1950,1950,Feb,Ohio,43.61,0.67,0,0.67
2/20/1950,1950,Feb,Oklahoma,53.33,2.13,1.697151286,3.83
2/20/1950,1950,Feb,Oregon,58.01,1.8,0,1.8
2/20/1950,1950,Feb,Pennsylvania,41.09,0.49,1.278268482,1.77
2/20/1950,1950,Feb,Rhode Island,38.03,1.07,0,1.07
2/20/1950,1950,Feb,South Carolina,59.09,4.73,-1.814417494,2.92
2/20/1950,1950,Feb,South Dakota,38.93,0.54,-1.334197699,0.27
2/20/1950,1950,Feb,Tennessee,50.81,4.11,0,4.11
2/20/1950,1950,Feb,Texas,69.17,2.75,0,2.75
2/20/1950,1950,Feb,Utah,58.91,0.33,0,0.33
2/20/1950,1950,Feb,Vermont,32.99,0.57,0,0.57
2/20/1950,1950,Feb,Virginia,49.37,2.06,1.422970034,3.48
2/20/1950,1950,Feb,Washington,53.87,3.77,2.555837471,6.33
2/20/1950,1950,Feb,West Virginia,45.05,1.42,-1.346319937,0.07
2/20/1950,1950,Feb,Wisconsin,35.15,1.03,1.577388262,2.61
2/20/1950,1950,Feb,Wyoming,39.83,1.02,0,1.02
3/20/1950,1950,Mar,Alabama,70.79,5.76,0,5.76
3/20/1950,1950,Mar,Arizona,74.21,1.58,-0.826791784,0.75
3/20/1950,1950,Mar,Arkansas,66.29,2.97,1.958623226,4.93
3/20/1950,1950,Mar,California,75.47,4.59,-2.131408253,2.46
3/20/1950,1950,Mar,Colorado,54.23,1.29,0,1.29
3/20/1950,1950,Mar,Connecticut,47.75,4.14,1.749992199,5.89
3/20/1950,1950,Mar,Delaware,55.31,5.32,1.581583976,6.9
3/20/1950,1950,Mar,District of Columbia,53.69,5.11,1.564456752,6.67
3/20/1950,1950,Mar,Florida,83.39,4.94,2.59240158,7.53
3/20/1950,1950,Mar,Georgia,74.75,5.26,-1.734505994,3.53
3/20/1950,1950,Mar,Idaho,53.69,2.59,-1.094930677,1.5
3/20/1950,1950,Mar,Illinois,61.07,2.54,1.503040962,4.04
3/20/1950,1950,Mar,Indiana,58.73,3.1,1.478054356,4.58
3/20/1950,1950,Mar,Iowa,50.09,2.17,1.963361456,4.13
3/20/1950,1950,Mar,Kansas,59.27,1.02,-1.62301073,0.51
3/20/1950,1950,Mar,Kentucky,62.51,3.68,-1.586495717,2.09
3/20/1950,1950,Mar,Louisiana,72.05,6.03,0,6.03
3/20/1950,1950,Mar,Maine,46.49,2.6,0,2.6
3/20/1950,1950,Mar,Maryland,55.85,5.23,-1.446535456,3.78
3/20/1950,1950,Mar,Massachusetts,47.39,3.77,0,3.77
3/20/1950,1950,Mar,Michigan,45.59,2.6,-1.143502682,1.46
3/20/1950,1950,Mar,Minnesota,41.45,2.16,1.611734087,3.77
3/20/1950,1950,Mar,Mississippi,70.25,5.7,0,5.7
3/20/1950,1950,Mar,Missouri,61.97,1.83,1.703103189,3.53
3/20/1950,1950,Mar,Montana,46.13,1.72,-0.836228518,0.88
3/20/1950,1950,Mar,Nebraska,50.81,1.26,1.474480896,2.73
3/20/1950,1950,Mar,Nevada,71.33,1.44,0,1.44
3/20/1950,1950,Mar,New Hampshire,46.13,3.05,0,3.05
3/20/1950,1950,Mar,New Jersey,52.43,4.94,-1.574216376,3.37
3/20/1950,1950,Mar,New Mexico,67.91,0.92,-0.860242829,0.06
3/20/1950,1950,Mar,New York,48.83,3.02,0,3.02
3/20/1950,1950,Mar,North Carolina,67.19,5.55,-1.658813749,3.89
3/20/1950,1950,Mar,North Dakota,37.31,1.29,-1.303599854,0.65
3/20/1950,1950,Mar,Ohio,55.31,3.35,-1.277318979,2.07
3/20/1950,1950,Mar,Oklahoma,65.39,1.56,0,1.56
3/20/1950,1950,Mar,Oregon,57.29,3.72,2.124200068,5.84
3/20/1950,1950,Mar,Pennsylvania,50.45,3.89,0,3.89
3/20/1950,1950,Mar,Rhode Island,47.21,4.31,1.753651829,6.06
3/20/1950,1950,Mar,South Carolina,71.33,5.54,0,5.54
3/20/1950,1950,Mar,South Dakota,42.35,1.86,-1.334197699,0.53
3/20/1950,1950,Mar,Tennessee,64.49,4.5,0,4.5
3/20/1950,1950,Mar,Texas,79.97,1.97,0,1.97
3/20/1950,1950,Mar,Utah,62.87,1.48,0,1.48
3/20/1950,1950,Mar,Vermont,44.51,2.9,0,2.9
3/20/1950,1950,Mar,Virginia,61.07,5.37,1.422970034,6.79
3/20/1950,1950,Mar,Washington,54.23,3.35,2.555837471,5.91
3/20/1950,1950,Mar,West Virginia,58.19,5.15,0,5.15
3/20/1950,1950,Mar,Wisconsin,43.61,2.89,0,2.89
3/20/1950,1950,Mar,Wyoming,45.05,1.58,0.67124255,2.25
4/20/1950,1950,Apr,Alabama,76.19,9.16,1.913030304,11.07
4/20/1950,1950,Apr,Arizona,86.45,0.71,-0.826791784,0.36
4/20/1950,1950,Apr,Arkansas,75.65,4.13,0,4.13
4/20/1950,1950,Apr,California,88.97,0.19,-2.131408253,0.1
4/20/1950,1950,Apr,Colorado,64.49,3.02,0,3.02
4/20/1950,1950,Apr,Connecticut,58.73,4.91,1.749992199,6.66
4/20/1950,1950,Apr,Delaware,62.69,4.25,0,4.25
4/20/1950,1950,Apr,District of Columbia,62.15,3.4,-1.564456752,1.84
4/20/1950,1950,Apr,Florida,86.45,4.01,-2.59240158,1.42
4/20/1950,1950,Apr,Georgia,79.43,6.72,0,6.72
4/20/1950,1950,Apr,Idaho,65.39,1.4,1.094930677,2.49
4/20/1950,1950,Apr,Illinois,64.49,3.47,0,3.47
4/20/1950,1950,Apr,Indiana,62.51,3.43,1.478054356,4.91
4/20/1950,1950,Apr,Iowa,61.07,3.49,0,3.49
4/20/1950,1950,Apr,Kansas,68.27,2.76,0,2.76
4/20/1950,1950,Apr,Kentucky,65.57,4.87,0,4.87
4/20/1950,1950,Apr,Louisiana,76.91,7.13,-2.276327511,4.85
4/20/1950,1950,Apr,Maine,54.95,2.59,0,2.59
4/20/1950,1950,Apr,Maryland,63.23,3.58,-1.446535456,2.13
4/20/1950,1950,Apr,Massachusetts,56.93,4.78,-1.600615098,3.18
4/20/1950,1950,Apr,Michigan,53.51,1.91,-1.143502682,0.77
4/20/1950,1950,Apr,Minnesota,57.47,0.54,-1.611734087,0.27
4/20/1950,1950,Apr,Mississippi,76.37,9.08,2.041266881,11.12
4/20/1950,1950,Apr,Missouri,69.53,4,1.703103189,5.7
4/20/1950,1950,Apr,Montana,61.43,1.21,-0.836228518,0.37
4/20/1950,1950,Apr,Nebraska,62.69,3.44,0,3.44
4/20/1950,1950,Apr,Nevada,85.37,0.31,-0.57776999,0.16
4/20/1950,1950,Apr,New Hampshire,55.85,3.53,0,3.53
4/20/1950,1950,Apr,New Jersey,61.25,4.23,-1.574216376,2.66
4/20/1950,1950,Apr,New Mexico,75.83,1.37,0,1.37
4/20/1950,1950,Apr,New York,59.63,3.03,-1.177106099,1.85
4/20/1950,1950,Apr,North Carolina,70.61,7.23,-1.658813749,5.57
4/20/1950,1950,Apr,North Dakota,59.63,0.17,-1.303599854,0.09
4/20/1950,1950,Apr,Ohio,61.07,2.81,1.277318979,4.09
4/20/1950,1950,Apr,Oklahoma,75.29,2.59,-1.697151286,0.89
4/20/1950,1950,Apr,Oregon,68.99,0.92,2.124200068,3.04
4/20/1950,1950,Apr,Pennsylvania,60.35,2.86,-1.278268482,1.58
4/20/1950,1950,Apr,Rhode Island,56.03,5.35,-1.753651829,3.6
4/20/1950,1950,Apr,South Carolina,76.01,6.24,-1.814417494,4.43
4/20/1950,1950,Apr,South Dakota,60.53,1.1,1.334197699,2.43
4/20/1950,1950,Apr,Tennessee,67.91,8.3,0,8.3
4/20/1950,1950,Apr,Texas,86.09,1.5,-1.374614157,0.13
4/20/1950,1950,Apr,Utah,76.01,1.1,0,1.1
4/20/1950,1950,Apr,Vermont,56.21,3.15,-1.426016463,1.72
4/20/1950,1950,Apr,Virginia,64.85,5.53,-1.422970034,4.11
4/20/1950,1950,Apr,Washington,66.83,1.81,-2.555837471,0.91
4/20/1950,1950,Apr,West Virginia,61.43,4,0,4
4/20/1950,1950,Apr,Wisconsin,56.03,1.8,-1.577388262,0.22
4/20/1950,1950,Apr,Wyoming,58.91,2.59,0.67124255,3.26
5/20/1950,1950,May,Alabama,83.39,6.92,0,6.92
5/20/1950,1950,May,Arizona,88.07,1.08,0,1.08
5/20/1950,1950,May,Arkansas,83.75,8.68,-1.958623226,6.72
5/20/1950,1950,May,California,93.29,1.99,0,1.99
5/20/1950,1950,May,Colorado,73.31,5.09,0,5.09
5/20/1950,1950,May,Connecticut,71.33,1.79,-1.749992199,0.04
5/20/1950,1950,May,Delaware,73.49,3.42,1.581583976,5
5/20/1950,1950,May,District of Columbia,73.13,3.89,1.564456752,5.45
5/20/1950,1950,May,Florida,92.21,3.42,0,3.42
5/20/1950,1950,May,Georgia,85.55,5.36,-1.734505994,3.63
5/20/1950,1950,May,Idaho,79.43,3.14,-1.094930677,2.05
5/20/1950,1950,May,Illinois,78.35,3.76,1.503040962,5.26
5/20/1950,1950,May,Indiana,76.91,4.65,-1.478054356,3.17
5/20/1950,1950,May,Iowa,76.91,1.36,-1.963361456,0.68
5/20/1950,1950,May,Kansas,79.07,6.77,0,6.77
5/20/1950,1950,May,Kentucky,78.71,7.6,0,7.6
5/20/1950,1950,May,Louisiana,84.47,6.4,0,6.4
5/20/1950,1950,May,Maine,70.79,2.32,1.365409241,3.69
5/20/1950,1950,May,Maryland,74.57,3.99,1.446535456,5.44
5/20/1950,1950,May,Massachusetts,71.33,2.12,-1.600615098,0.52
5/20/1950,1950,May,Michigan,72.05,2.03,0,2.03
5/20/1950,1950,May,Minnesota,75.11,0.69,1.611734087,2.3
5/20/1950,1950,May,Mississippi,83.57,7.08,0,7.08
5/20/1950,1950,May,Missouri,80.87,6.46,-1.703103189,4.76
5/20/1950,1950,May,Montana,80.87,1.21,0.836228518,2.05
5/20/1950,1950,May,Nebraska,76.37,3.7,0,3.7
5/20/1950,1950,May,Nevada,88.07,2.8,0,2.8
5/20/1950,1950,May,New Hampshire,70.79,2.3,-1.507383023,0.79
5/20/1950,1950,May,New Jersey,72.95,2.43,1.574216376,4
5/20/1950,1950,May,New Mexico,87.17,1.58,0.860242829,2.44
5/20/1950,1950,May,New York,72.59,2.51,1.177106099,3.69
5/20/1950,1950,May,North Carolina,80.15,5.44,1.658813749,7.1
5/20/1950,1950,May,North Dakota,77.81,0.11,-1.303599854,0.06
5/20/1950,1950,May,Ohio,74.03,3.61,0,3.61
5/20/1950,1950,May,Oklahoma,86.09,6.68,0,6.68
5/20/1950,1950,May,Oregon,79.97,2.24,-2.124200068,0.12
5/20/1950,1950,May,Pennsylvania,74.93,3.66,1.278268482,4.94
5/20/1950,1950,May,Rhode Island,69.17,1.94,1.753651829,3.69
5/20/1950,1950,May,South Carolina,83.39,4.79,1.814417494,6.6
5/20/1950,1950,May,South Dakota,76.37,0.81,1.334197699,2.14
5/20/1950,1950,May,Tennessee,81.59,8.05,0,8.05
5/20/1950,1950,May,Texas,97.25,3.11,0,3.11
5/20/1950,1950,May,Utah,79.79,3.55,0.632522852,4.18
5/20/1950,1950,May,Vermont,72.23,2.59,0,2.59
5/20/1950,1950,May,Virginia,76.91,5.21,0,5.21
5/20/1950,1950,May,Washington,79.97,1.48,2.555837471,4.04
5/20/1950,1950,May,West Virginia,74.21,5.15,0,5.15
5/20/1950,1950,May,Wisconsin,75.65,1.51,-1.577388262,0.76
5/20/1950,1950,May,Wyoming,70.61,4.02,-0.67124255,3.35
6/20/1950,1950,Jun,Alabama,88.97,3.57,0,3.57
6/20/1950,1950,Jun,Arizona,101.03,1.46,0,1.46
6/20/1950,1950,Jun,Arkansas,88.25,4.23,0,4.23
6/20/1950,1950,Jun,California,106.43,0.57,-2.131408253,0.29
6/20/1950,1950,Jun,Colorado,84.83,1.65,-0.696928566,0.95
6/20/1950,1950,Jun,Connecticut,77.63,3.99,1.749992199,5.74
6/20/1950,1950,Jun,Delaware,82.13,4.41,1.581583976,5.99
6/20/1950,1950,Jun,District of Columbia,81.59,4.88,0,4.88
6/20/1950,1950,Jun,Florida,95.27,6.62,2.59240158,9.21
6/20/1950,1950,Jun,Georgia,91.67,3.05,1.734505994,4.78
6/20/1950,1950,Jun,Idaho,87.71,2.72,-1.094930677,1.63
6/20/1950,1950,Jun,Illinois,85.73,5.62,0,5.62
6/20/1950,1950,Jun,Indiana,84.47,5.92,1.478054356,7.4
6/20/1950,1950,Jun,Iowa,89.69,4.19,1.963361456,6.15
6/20/1950,1950,Jun,Kansas,90.05,3.65,0,3.65
6/20/1950,1950,Jun,Kentucky,86.63,4.94,0,4.94
6/20/1950,1950,Jun,Louisiana,89.87,8.92,0,8.92
6/20/1950,1950,Jun,Maine,74.93,5.9,1.365409241,7.27
6/20/1950,1950,Jun,Maryland,83.39,5.05,-1.446535456,3.6
6/20/1950,1950,Jun,Massachusetts,76.73,4.6,-1.600615098,3
6/20/1950,1950,Jun,Michigan,79.07,3.56,1.143502682,4.7
6/20/1950,1950,Jun,Minnesota,92.21,1.41,0,1.41
6/20/1950,1950,Jun,Mississippi,89.69,5.3,-2.041266881,3.26
6/20/1950,1950,Jun,Missouri,87.53,5.02,-1.703103189,3.32
6/20/1950,1950,Jun,Montana,96.53,2.02,0,2.02
6/20/1950,1950,Jun,Nebraska,91.31,2.78,1.474480896,4.25
6/20/1950,1950,Jun,Nevada,100.67,1.47,0.57776999,2.05
6/20/1950,1950,Jun,New Hampshire,76.19,5.43,0,5.43
6/20/1950,1950,Jun,New Jersey,81.59,4.36,0,4.36
6/20/1950,1950,Jun,New Mexico,92.75,1.89,-0.860242829,1.03
6/20/1950,1950,Jun,New York,79.07,4.78,0,4.78
6/20/1950,1950,Jun,North Carolina,86.63,3.41,1.658813749,5.07
6/20/1950,1950,Jun,North Dakota,95.09,0.64,0,0.64
6/20/1950,1950,Jun,Ohio,81.05,6.19,0,6.19
6/20/1950,1950,Jun,Oklahoma,95.09,2.63,0,2.63
6/20/1950,1950,Jun,Oregon,86.45,1.63,-2.124200068,0.82
6/20/1950,1950,Jun,Pennsylvania,80.87,5.44,0,5.44
6/20/1950,1950,Jun,Rhode Island,75.83,3.69,1.753651829,5.44
6/20/1950,1950,Jun,South Carolina,90.05,2.79,0,2.79
6/20/1950,1950,Jun,South Dakota,93.65,1.26,0,1.26
6/20/1950,1950,Jun,Tennessee,87.53,3.55,0,3.55
6/20/1950,1950,Jun,Texas,98.15,4.9,1.374614157,6.27
6/20/1950,1950,Jun,Utah,90.95,1.75,0,1.75
6/20/1950,1950,Jun,Vermont,77.99,5.39,1.426016463,6.82
6/20/1950,1950,Jun,Virginia,84.29,4.49,-1.422970034,3.07
6/20/1950,1950,Jun,Washington,86.45,1.94,0,1.94
6/20/1950,1950,Jun,West Virginia,81.41,6.04,-1.346319937,4.69
6/20/1950,1950,Jun,Wisconsin,86.45,3.41,0,3.41
6/20/1950,1950,Jun,Wyoming,88.25,1.86,-0.67124255,1.19
7/20/1950,1950,Jul,Alabama,93.83,2.46,0,2.46
7/20/1950,1950,Jul,Arizona,108.41,3.52,0,3.52
7/20/1950,1950,Jul,Arkansas,97.25,1.84,-1.958623226,0.92
7/20/1950,1950,Jul,California,113.45,0.49,0,0.49
7/20/1950,1950,Jul,Colorado,97.25,1.77,-0.696928566,1.07
7/20/1950,1950,Jul,Connecticut,89.15,1.47,0,1.47
7/20/1950,1950,Jul,Delaware,90.05,5.31,-1.581583976,3.73
7/20/1950,1950,Jul,District of Columbia,89.87,5.96,1.564456752,7.52
7/20/1950,1950,Jul,Florida,95.63,8.59,-2.59240158,6
7/20/1950,1950,Jul,Georgia,97.07,3.28,0,3.28
7/20/1950,1950,Jul,Idaho,94.73,1.45,1.094930677,2.54
7/20/1950,1950,Jul,Illinois,94.19,3.58,0,3.58
7/20/1950,1950,Jul,Indiana,90.41,3.74,1.478054356,5.22
7/20/1950,1950,Jul,Iowa,101.57,4.02,-1.963361456,2.06
7/20/1950,1950,Jul,Kansas,103.73,0.92,1.62301073,2.54
7/20/1950,1950,Jul,Kentucky,93.65,2.51,1.586495717,4.1
7/20/1950,1950,Jul,Louisiana,92.03,4.18,0,4.18
7/20/1950,1950,Jul,Maine,88.07,2.45,-1.365409241,1.08
7/20/1950,1950,Jul,Maryland,90.77,5.83,-1.446535456,4.38
7/20/1950,1950,Jul,Massachusetts,89.15,1.45,0,1.45
7/20/1950,1950,Jul,Michigan,85.91,4.27,1.143502682,5.41
7/20/1950,1950,Jul,Minnesota,97.43,4.72,-1.611734087,3.11
7/20/1950,1950,Jul,Mississippi,93.11,2.7,2.041266881,4.74
7/20/1950,1950,Jul,Missouri,100.67,2.06,1.703103189,3.76
7/20/1950,1950,Jul,Montana,100.49,1.32,-0.836228518,0.48
7/20/1950,1950,Jul,Nebraska,102.11,1.27,0,1.27
7/20/1950,1950,Jul,Nevada,108.05,1.58,-0.57776999,1
7/20/1950,1950,Jul,New Hampshire,88.43,2.11,-1.507383023,0.6
7/20/1950,1950,Jul,New Jersey,90.77,4.22,1.574216376,5.79
7/20/1950,1950,Jul,New Mexico,97.43,1.52,0.860242829,2.38
7/20/1950,1950,Jul,New York,89.87,2.72,0,2.72
7/20/1950,1950,Jul,North Carolina,92.75,6.14,0,6.14
7/20/1950,1950,Jul,North Dakota,98.87,2.38,0,2.38
7/20/1950,1950,Jul,Ohio,88.97,4.29,-1.277318979,3.01
7/20/1950,1950,Jul,Oklahoma,103.55,0.35,-1.697151286,0.18
7/20/1950,1950,Jul,Oregon,94.73,0.42,-2.124200068,0.21
7/20/1950,1950,Jul,Pennsylvania,90.23,5.05,1.278268482,6.33
7/20/1950,1950,Jul,Rhode Island,87.89,1.26,0,1.26
7/20/1950,1950,Jul,South Carolina,97.07,4.19,0,4.19
7/20/1950,1950,Jul,South Dakota,101.75,2.18,-1.334197699,0.85
7/20/1950,1950,Jul,Tennessee,93.47,2.5,-1.713352436,0.79
7/20/1950,1950,Jul,Texas,100.85,1.27,-1.374614157,0.64
7/20/1950,1950,Jul,Utah,97.97,2.19,-0.632522852,1.56
7/20/1950,1950,Jul,Vermont,87.89,2.56,-1.426016463,1.13
7/20/1950,1950,Jul,Virginia,91.31,6.11,1.422970034,7.53
7/20/1950,1950,Jul,Washington,93.47,1.4,-2.555837471,0.7
7/20/1950,1950,Jul,West Virginia,88.79,5.42,-1.346319937,4.07
7/20/1950,1950,Jul,Wisconsin,93.29,5.19,-1.577388262,3.61
7/20/1950,1950,Jul,Wyoming,97.79,0.88,-0.67124255,0.21
8/20/1950,1950,Aug,Alabama,91.31,6.82,0,6.82
8/20/1950,1950,Aug,Arizona,109.67,0.53,0.826791784,1.36
8/20/1950,1950,Aug,Arkansas,95.81,3.81,0,3.81
8/20/1950,1950,Aug,California,113.45,0.25,2.131408253,2.38
8/20/1950,1950,Aug,Colorado,94.37,1.31,-0.696928566,0.61
8/20/1950,1950,Aug,Connecticut,86.45,4.79,-1.749992199,3.04
8/20/1950,1950,Aug,Delaware,88.43,2.9,-1.581583976,1.32
8/20/1950,1950,Aug,District of Columbia,89.33,2.63,-1.564456752,1.07
8/20/1950,1950,Aug,Florida,93.83,8.05,0,8.05
8/20/1950,1950,Aug,Georgia,93.11,6.58,0,6.58
8/20/1950,1950,Aug,Idaho,92.57,0.58,1.094930677,1.67
8/20/1950,1950,Aug,Illinois,92.75,2.7,-1.503040962,1.2
8/20/1950,1950,Aug,Indiana,89.87,3.15,-1.478054356,1.67
8/20/1950,1950,Aug,Iowa,96.71,1.15,-1.963361456,0.58
8/20/1950,1950,Aug,Kansas,97.43,2.52,0,2.52
8/20/1950,1950,Aug,Kentucky,92.03,3.37,-1.586495717,1.78
8/20/1950,1950,Aug,Louisiana,91.13,6.97,2.276327511,9.25
8/20/1950,1950,Aug,Maine,83.21,4.65,-1.365409241,3.28
8/20/1950,1950,Aug,Maryland,89.33,2.55,0,2.55
8/20/1950,1950,Aug,Massachusetts,85.73,5.13,-1.600615098,3.53
8/20/1950,1950,Aug,Michigan,85.55,3.31,1.143502682,4.45
8/20/1950,1950,Aug,Minnesota,94.37,1.21,-1.611734087,0.61
8/20/1950,1950,Aug,Mississippi,92.03,6.86,2.041266881,8.9
8/20/1950,1950,Aug,Missouri,95.45,3.56,1.703103189,5.26
8/20/1950,1950,Aug,Montana,93.11,0.48,0.836228518,1.32
8/20/1950,1950,Aug,Nebraska,96.89,1.32,0,1.32
8/20/1950,1950,Aug,Nevada,109.67,0.14,0.57776999,0.72
8/20/1950,1950,Aug,New Hampshire,84.11,5.44,-1.507383023,3.93
8/20/1950,1950,Aug,New Jersey,89.15,3.28,-1.574216376,1.71
8/20/1950,1950,Aug,New Mexico,97.07,0.95,0.860242829,1.81
8/20/1950,1950,Aug,New York,87.71,5.31,0,5.31
8/20/1950,1950,Aug,North Carolina,89.33,4.56,-1.658813749,2.9
8/20/1950,1950,Aug,North Dakota,93.11,0.17,-1.303599854,0.09
8/20/1950,1950,Aug,Ohio,88.97,3.61,1.277318979,4.89
8/20/1950,1950,Aug,Oklahoma,98.69,3.02,1.697151286,4.72
8/20/1950,1950,Aug,Oregon,90.77,0.67,-2.124200068,0.34
8/20/1950,1950,Aug,Pennsylvania,88.25,4.32,1.278268482,5.6
8/20/1950,1950,Aug,Rhode Island,85.01,5.37,0,5.37
8/20/1950,1950,Aug,South Carolina,93.11,6.46,0,6.46
8/20/1950,1950,Aug,South Dakota,97.97,0.65,0,0.65
8/20/1950,1950,Aug,Tennessee,92.39,4.48,1.713352436,6.19
8/20/1950,1950,Aug,Texas,97.79,4.05,-1.374614157,2.68
8/20/1950,1950,Aug,Utah,101.03,0.36,-0.632522852,0.18
